ticker,ev_sales,margins,beta,g
CME,15.788,0.43225,0.47490299999999996,-0.09699999999999999
CB,2.391,0.098000005,0.697738,1.061
FISV,7.077999999999999,0.0645,0.9111959999999999,0.215
FDX,1.3459999999999999,0.03846,1.2818530000000001,1.8319999999999999
COP,4.034,-0.14056,1.7909540000000002,
EL,8.164,0.0654,0.931053,0.5670000000000001
NSC,8.251,0.20563999,1.301709,0.008
CL,4.633,0.16362000000000002,0.599558,0.006
SO,6.101,0.15308,0.42360699999999996,-0.122
ICE,13.964,0.34609002,0.731384,0.174
ADSK,17.455,0.31875,1.338665,5.914
MMC,4.436,0.11704001,0.879757,-0.043
GPN,9.804,0.07874,1.190292,0.777
EQIX,12.669,0.06201,0.268615,-0.5920000000000001
ITW,6.099,0.16773,1.114726,0.002
APD,7.334,0.21089001,0.804743,0.013000000000000001
D,7.321000000000001,-0.02829,0.346387,-0.324
SHW,4.439,0.11058,1.062327,0.637
COF,3.716,0.14864000000000002,1.752344,1.182
ADI,10.776,0.23990999,1.2912299999999999,0.9059999999999999
PGR,1.3619999999999999,0.14503999,0.467733,1.117
ILMN,17.489,0.20253,0.971318,0.075
VRTX,8.269,0.43695998,0.6795359999999999,0.036000000000000004
TWTR,14.216,-0.30558002,0.827357,0.87
ETN,3.569,0.07896,1.15444,0.051
HUM,0.6,0.04364,0.880308,
NXPI,7.087000000000001,0.00604,1.479316,1.7109999999999999
FCX,4.952,0.04219,2.118036,77.667
EMR,3.6519999999999997,0.12408,1.573083,0.365
EW,12.513,0.18772,1.038058,0.105
ECL,5.91,-0.10221000000000001,0.991174,-0.301
AON,5.599,0.17793,0.828461,0.401
NOC,1.8880000000000001,0.086660005,0.809156,
DG,1.899,0.07867,0.512961,0.2
WM,4.883,0.0983,0.795918,-0.02
KLAC,8.66,0.22518000000000002,1.275234,0.20199999999999999
REGN,6.193,0.42275003,0.190843,0.451
NEM,4.7139999999999995,0.24606001,0.25703200000000004,0.45799999999999996
HCA,1.949,0.07285,1.654164,0.331
MCO,12.044,0.33104,1.161059,-0.128
DOW,1.6280000000000001,0.03178,1.7990080000000002,
F,1.4240000000000002,-0.01006,1.204633,
KMB,2.926,0.122880004,0.553778,-0.015
MET,1.9569999999999999,0.0797,1.341974,-0.7340000000000001
ROST,3.7689999999999997,0.006809999999999999,1.025923,-0.478
IDXX,17.114,0.21494000000000002,0.862107,0.9309999999999999
JCI,2.426,0.0418,1.121897,1.8359999999999999
EXC,2.6430000000000002,0.059410000000000004,0.43188000000000004,-0.535
ROP,9.763,0.17182999999999998,1.013789,-0.706
TEL,3.7969999999999997,0.0091,1.366795,13.654000000000002
ALGN,19.055999999999997,0.71842,1.695532,0.311
AEP,5.254,0.14747000000000002,0.246552,1.837
CMG,7.587000000000001,0.05945,1.36845,1.6369999999999998
BAX,4.012,0.09441000000000001,0.675124,
LHX,2.7439999999999998,0.0615,0.746466,-0.726
MCHP,9.708,0.06291000000000001,1.721456,-0.884
EOG,4.487,-0.060860000000000004,2.177054,-0.47
CTSH,2.512,0.08359,1.1621620000000001,-0.2
HPQ,0.794,0.05608,1.029233,0.575
